time,bus_id,edge_id,speed
1171.0,552,E3E2,8.662477003773674
1171.0,583,C0B0,3.845726775052025
1201.0,542,A2B2,13.782447224166244
1201.0,552,E1D1,7.0580044439435
1201.0,583,B0B1,13.352290376890451
1201.0,589,C2C3,5.941441336156797
1201.0,598,D0C0,3.4186640986707064
1201.0,600,E0D0,0.0
1231.0,566,B0A0,13.874099748171867
1231.0,583,B2B3,13.34362114054151
1231.0,598,C0C1,13.57254398982972
1231.0,600,D0C0,13.631300835600124
1231.0,608,D4D3,12.456857478059822
1261.0,583,B4C4,13.754439255790786
1261.0,598,C2C3,13.55761713763699
1261.0,600,B0B1,13.412421314287931
1261.0,608,C3C2,10.686899339786263
1261.0,621,B3A3,13.31958326430898
1261.0,623,A2A3,12.725646373629566
1291.0,598,C4D4,13.629246684545652
1291.0,608,C1B1,7.4310740715265275
1291.0,621,A3B3,0.0
1291.0,623,A3B3,0.0
1291.0,633,C3C2,5.465832223882898
1291.0,637,B2B3,13.460568967005239
1291.0,643,E2D2,3.3794985566753883
1321.0,608,B1B2,13.770033945199103
1321.0,621,B3C3,12.266608886331216
1321.0,637,C3C2,12.294275014651936
1321.0,643,D2E2,13.278065342362968
1321.0,651,D4E4,13.576447743326426
1321.0,656,E3D3,6.772013527527452
1321.0,658,A2A3,3.3100784718990326
1321.0,659,A3A2,1.486590392421931
1351.0,621,C2C1,13.37892769762315
1351.0,623,D3E3,13.377346532335505
1351.0,633,C0B0,13.617880775928498
1351.0,637,C1C0,13.712268467210233
1351.0,643,E1D1,9.104815130671483
1351.0,651,E3E2,13.845338859558106
1351.0,656,E3D3,0.0
1351.0,658,A3B3,13.476627695895733
1351.0,659,A2B2,5.677061573920213
1351.0,663,C4C3,7.757208329848945
1381.0,623,E2E1,13.353761028600857
1381.0,656,D3C3,0.02861790137331119
1381.0,659,B2C2,13.50048360010609
1381.0,663,C3B3,12.23696810760909
1381.0,683,E2D2,12.524557946389539
1381.0,684,C1B1,10.725052722031249
1411.0,656,C2B2,10.19386769229546
1411.0,658,C3D3,0.0
1411.0,659,C3D3,9.797876926548778
1411.0,663,A3A4,12.11164415185139
1411.0,683,D3D4,13.841992683811114
1411.0,684,B2C2,8.320616867663338
1411.0,703,E2D2,3.468610379146412
1441.0,658,E3E2,7.704034955604001
1441.0,683,C4B4,13.29218382049352
1441.0,684,C2D2,13.618776619909331
1441.0,703,D2C2,13.762458578366786
1441.0,715,D3E3,9.56491462723352
1441.0,716,D2D3,7.624939870974049
1471.0,658,E1E0,13.699335045469926
1471.0,683,A4A3,10.42829316355288
1471.0,684,D3E3,12.144927278151732
1471.0,716,D3D2,13.685844630897046
1471.0,720,B1B2,13.567576862974093
1471.0,728,C3C2,12.048592993151395
1501.0,658,E0D0,13.460379100274295
1501.0,703,C4C3,13.37257788126357
1501.0,715,C3B3,13.722892651995645
1501.0,716,D1D0,9.120972089871293
1501.0,728,B2A2,9.589943722331894
1531.0,709,A3A2,13.332668453324587
1531.0,715,B3C3,11.75881742890924
1531.0,737,D3D4,10.420731144922359
1561.0,720,D3D4,13.887195074195043
1561.0,768,E2E1,4.077051744284108
1561.0,775,D3E3,5.062690836936237
1561.0,779,B4B3,1.430051429383457
1591.0,768,E1D1,13.662858421085403
1591.0,775,E3E2,13.860327201252804
1591.0,779,B3B4,13.327907140748575
1621.0,768,C1C0,11.733773976008402
1621.0,775,D2C2,12.53228893611144
1621.0,779,C4D4,13.811186716714875
1621.0,805,D0E0,10.40693290159106
1651.0,805,E1E2,13.80675897804089
1651.0,817,E4D4,12.484919255599378
1681.0,805,E3E4,13.885377668878064
1681.0,817,C4B4,13.768150340309367
1681.0,826,D2C2,7.32417753232862
1711.0,805,D4C4,13.737261340543629
1711.0,817,A4A3,13.37679605475627
1711.0,826,C2C1,13.329079849608243
1711.0,851,B3B4,7.468850988568738
1711.0,852,B0A0,5.696001448994501
1741.0,852,A0A1,13.341242796471343
1741.0,858,D4C4,13.529146971283481
1741.0,864,C4B4,9.264368235412986
1741.0,868,E3D3,3.3767404836136845
1771.0,851,D4D3,13.632098947986961
1771.0,852,A2A3,13.779785935124384
1771.0,864,B3B2,13.460808751601727
1771.0,868,D3C3,13.414459979077801
1771.0,878,B3C3,12.801883243164044
1771.0,882,B1C1,5.928462537098675
1801.0,851,D2D1,13.52377249063924
1801.0,852,A4B4,13.346016861414537
1801.0,864,B1B0,13.327445339234547
1801.0,868,B3A3,10.716559447011566
1801.0,873,C3C2,10.007330735716968
1801.0,882,C1C2,13.467761877654121
1831.0,851,D0C0,13.580561032248662
1831.0,852,C4D4,13.759900170201437
1831.0,873,C1B1,6.2919624485448
1831.0,882,C3C4,13.377064270908013
1861.0,852,E4E3,10.90443599852733
1861.0,873,B1A1,13.754659176394345
